# fr-FR
"No match found","Aucune correspondance trouvée"
			"{os2editor.donate-page.content}","<p>L'extension Owebia Shipping 2 est développée bénévolement par l'entreprise Owebia (<a href=""http://www.owebia.com/"">http://www.owebia.com/</a>).<br/>Si vous souhaitez soutenir financièrement le développement de l'extension, vous pouvez faire un &laquo;&nbsp;don&nbsp;&raquo;.</p><p>En France, seules certaines associations peuvent recevoir des dons, c'est pourquoi nous ne pouvons recevoir une somme d'argent sans qu'elle soit déclarée.<br/>Pour cela, nous enverrons à chaque &laquo;&nbsp;donateur&nbsp;&raquo; une facture (acquitée) du montant du &laquo;&nbsp;don&nbsp;&raquo;.</p><p>Cela permettra à chacun de garder une trace de ces &laquo;&nbsp;dons&nbsp;&raquo;.</p><p><strong>Pour effectuer un &laquo;&nbsp;don&nbsp;&raquo;, merci d'envoyer un chèque à l'adresse suivante :</strong></p><p class=""owebia-address"">Owebia<br/>4, Rue du Collège<br/>25500 Morteau (France)</p><p><strong>N'oubliez pas de joindre à ce chèque les coordonnées qui doivent figurer sur la facture qui vous sera envoyée.</strong></p><p>Merci à tous les donateurs.</p>"
		# JS
			"Dissociate","Dissocier"
			"Remove","Supprimer"
			"Edit","Modifier"
			"Enter the new value:","Veuillez saisir la nouvelle valeur :"
			"[No label]","[Pas de libellé]"
			"Loading...","En cours de chargement..."
		# Help
			"Owebia Shipping 2 extension help","Aide de l'extension Owebia Shipping 2"
			"{os2editor.help.summary}","
<h4>Sommaire</h4>
<div class=""table-of-contents"">
<ul>
	<li><a href=""#"" onclick=""os2editor.help('introduction');"">Introduction</a></li>
	<li><a href=""#"" onclick=""os2editor.help('property.label');"">Le libellé : `label`</a></li>
	<li><a href=""#"" onclick=""os2editor.help('property.fees');"">Les frais de port : `fees`</a>
		<ul>
			<li class=""new""><a href=""#"" onclick=""os2editor.help('more.formulas');"">Initiation aux formules</a> (utilisation des chaînes de caractères avec la version 2.4.5)
				<ul>
					<li><a href=""#"" onclick=""os2editor.help('more.special-functions');"">Fonctions spéciales dans les formules (min, max, substr, in_array)</a> (substr et in_array depuis la version 2.4.5)</li>
				</ul>
			</li>
			<li><a href=""#"" onclick=""os2editor.help('more.copy');"">Faire une copie d'une propriété d'une autre méthode</a></li>
			<li><a href=""#"" onclick=""os2editor.help('more.tables');"">Utilisation des tables de tarifs</a></li>
			<li class=""new""><a href=""#"" onclick=""os2editor.help('more.switch');"">Utilisation des ""switch"" (tables de correspondance)</a> (depuis la version 2.4.5)</li>
			<li class=""new""><a href=""#"" onclick=""os2editor.help('more.attributes-options');"">Utilisation des attributs ou des options des produits (sum, count, min, max)</a> (support des jeux d'attributs depuis la version 2.4.6)</li>
			<li class=""new""><a href=""#"" onclick=""os2editor.help('more.foreach');"">Utilisation des boucles foreach</a> (support des jeux d'attributs depuis la version 2.4.6)</li>
			<li class=""new""><a href=""#"" onclick=""os2editor.help('more.categories');"">Utilisation des catégories dans les boucles foreach ou dans les fonctions spéciales</a> (depuis la version 2.4.2)</li>
			<li><a href=""#"" onclick=""os2editor.help('more.custom-variables');"">Utilisation des variables personnalisées de Magento (Custom Variables)</a></li>
		</ul>
	</li>
	<li><a href=""#"" onclick=""os2editor.help('property.conditions');"">Les conditions : `conditions`</a></li>
	<li class=""new""><a href=""#"" onclick=""os2editor.help('property.destination');"">La destination : `destination`</a> (expressions régulières depuis la version 2.4.0)</li>
	<li><a href=""#"" onclick=""os2editor.help('property.enabled');"">L'activation : `enabled`</a></li>
	<li><a href=""#"" onclick=""os2editor.help('property.code');"">Le code : `code`</a></li>
	<li><a href=""#"" onclick=""os2editor.help('property.description');"">La description : `description`</a></li>
	<li><a href=""#"" onclick=""os2editor.help('property.origin');"">L'origine : `origin`</a></li>
	<li><a href=""#"" onclick=""os2editor.help('property.customer_groups');"">Les groupes client : `customer_groups`</a></li>
	<li class=""new""><a href=""#"" onclick=""os2editor.help('property.tracking_url');"">L'URL de suivi : `tracking_url`</a> (documentation plus complète depuis la version 2.4.0)</li>
	<li><a href=""#"" onclick=""os2editor.help('property.*comment');"">Commentaires</a></li>
	<li><a href=""#"" onclick=""os2editor.help('changelog');"">Changelog</a></li>
</ul>
</div>
"
			"{os2editor.help.introduction}","
<div class=""help-header"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>

<h4>Introduction</h4>
<p>
	Si vous souhaitez poser une question, utilisez le sujet suivant : <a href=""http://www.magentocommerce.com/boards/viewthread/38223/"">http://www.magentocommerce.com/boards/viewthread/38223/</a>
</p>

<p>
	La syntaxe de configuration est une syntaxe proche de la syntaxe JSON.
</p>
<p>

	Exemple :
</p>
<div class=""code""><span class=""comment""># National</span><br/>
{<br/>
&nbsp;&nbsp;&nbsp;label: <span class=""string"">""National""</span>,<br/>
&nbsp;&nbsp;&nbsp;destination: <span class=""string"">""AD,FR,MC""</span>,<br/>
&nbsp;&nbsp;&nbsp;conditions: <span class=""string"">""{cart.price_excluding_tax}&lt;1000.00""</span>,<br/>

&nbsp;&nbsp;&nbsp;fees: <span class=""string"">""1.30 + {table {cart.weight} in 0.5:5.30, 1.0:6.50, 2.0:7.40, 3.0:8.30, 5.0:10.10}""</span>,<br/>
}</div>

<p>
	Le caractère `#` en début de ligne indique un commentaire.<br/>
	Un élément de configuration débute par le caractère `{` et se termine par `}`.<br/>
	Un élément de configuration contient plusieurs propriétés associées à des valeurs.<br/>

	Les propriétés sont alphanumériques (a-z0-9_), le séparateur propriété/valeur est le caractère `:`, les valeurs sont numériques, booléennes ou des chaînes de caractères délimitées par des guillemets. En fin de ligne, une virgule sert de séparateur entre les différentes propriétés.
</p>
<p>
	Liste des propriétés :
</p>
<ul>
	<li><b>label</b>: nom (libellé)</li>
	<li><b>description</b>: description (visible seulement si le template l'affiche)</li>
	<li><b>code</b>: code de la méthode de livraison (facultatif mais s'il est spécifié il doit être unique)</li>
	<li><b>enabled</b>: bloc de configuration activé ou non (ex: <span class=""value"">true</span> ou <span class=""value"">false</span>)</li>
	<li class=""new""><b>fees</b>: frais de port (ex: <span class=""value"">""15.00""</span> ou <span class=""value"">""{table {cart.weight} in 0.5:5.30, 1.0:6.50}""</span> ou <span class=""value"">""100 * {cart.weight}""</span>)</li>
	<li class=""new""><b>conditions</b>: conditions d'activation (ex: <span class=""value"">""{cart.weight}&gt;=1.0""</span> ou <span class=""value"">""{cart.price_excluding_tax}&lt;100.00""</span> ou <span class=""value"">""({cart.weight}&lt;=1.0) and ({cart.weight}&gt;3.0) and {free_shipping}""</span> ou <span class=""value"">""{count products where product.attribute.color=='Bleu'}&gt;1 or {count products where product.option.size=='2m'}&gt;2""</span>)</li>
	<li><b>destination</b>: pays (éventuellement régions) autorisés en destination (ex: <span class=""value"">""FR,DE,US""</span> ou <span class=""value"">""FR(2A,2B,25000)""</span> ou <span class=""value"">""FR-(2A,2B)""</span> ou <span class=""value"">""FR(01,02,39600),CH,DE""</span>)</li>
	<li class=""new""><b>origin</b>: pays (éventuellement régions) autorisés en origine (ex: <span class=""value"">""FR,DE,US""</span> ou <span class=""value"">""FR(2A,2B,25000)""</span> ou <span class=""value"">""FR-(2A,2B)""</span> ou <span class=""value"">""FR(01,02,39600),CH,DE""</span>)</li>
	<li class=""new""><b>customer_groups</b>: groupes de client autorisés (ex: <span class=""value"">""NOT LOGGED IN,Retailer""</span> ou <span class=""value"">""0,3""</span>)</li>
</ul>

<div class=""help-footer"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>

"
			"{os2editor.help.property.label}","
<div class=""help-header"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>

<h4>Le libellé : `label`</h4>
<p>Il s'agit du nom qui sera donné à la méthode de livraison.</p>
<p>On peut insérer certains éléments comme le poids des marchandises dans le libellé.<br/>
Pour ce faire, utiliser les variables suivantes :</p>
<ul>
	<li><b>{destination.country.name}</b>: le pays de destination</li>
	<li><b>{destination.country.code}</b>: le code du pays de destination</li>
	<li><b>{destination.region.code}</b>: le code de la région de destination</li>
	<li><b>{destination.postcode}</b>: le code postal de destination</li>
	<li><b>{origin.country.name}</b>: le pays d'envoi</li>
	<li><b>{origin.country.code}</b>: le code du pays d'envoi</li>
	<li><b>{origin.region.code}</b>: le code de la région d'envoi</li>
	<li><b>{origin.postcode}</b>: le code postal d'envoi</li>
	<li><b>{cart.weight}</b>: poids des marchandises</li>
	<li><b>{cart.weight.unit}</b>: l'unité de poids</li>
	<li><b>{cart.quantity}</b>: la quantité d'articles</li>
	<li><b>{cart.price_excluding_tax}</b>: prix HT (équivaut à <b>{cart.price-tax+discount}</b>)</li>
	<li><b>{cart.price_including_tax}</b>: prix TTC (équivaut à <b>{cart.price+tax+discount}</b>)</li>
	<li class=""new""><b>{cart.price-tax+discount}</b>: prix HT avec remise</li>
	<li class=""new""><b>{cart.price-tax-discount}</b>: prix HT sans remise</li>
	<li class=""new""><b>{cart.price+tax+discount}</b>: prix TTC avec remise</li>
	<li class=""new""><b>{cart.price+tax-discount}</b>: prix TTC sans remise</li>
	<li class=""new""><b>{cart.coupon}</b>: coupon de réduction</li>
	<li><b>{store.code}</b>: code du magasin</li>
	<li><b>{store.name}</b>: nom du magasin</li>
	<li><b>{store.address}</b>: adresse du magasin</li>
	<li><b>{store.phone}</b>: téléphone du magasin</li>
	<li><b>{date.timestamp}</b>: timestamp UNIX de la date actuelle</li>
	<li><b>{date.year}</b>: année de la date actuelle</li>
	<li><b>{date.month}</b>: mois de la date actuelle</li>
	<li><b>{date.day}</b>: jour de la date actuelle</li>
	<li><b>{date.hour}</b>: heure de la date actuelle</li>
	<li><b>{date.minute}</b>: minute de la date actuelle</li>
	<li><b>{date.second}</b>: seconde de la date actuelle</li>
</ul>
<div class=""code"">label: <span class=""string"">""Colissimo ({cart.weight} / {destination.country.name})""</span>,</div>
<p>La ligne ci-dessus affichera par exemple ""Colissimo (3.0kg / France)"".</p>

<div class=""help-footer"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>
"
			"{os2editor.help.property.fees}","
<div class=""help-header"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>

<h4>Les frais de port : `fees`</h4>
<p>
	La propriété `fees` se spécifie sous la forme d'une <a href=""#"" onclick=""os2editor.help('more.formulas');"">formule (voir l'initiation aux formules)</a>.
</p>
<div class=""code""><span class=""comment""># Frais fixes</span><br/>fees: 10.00,<br/>
<br/>
<span class=""comment""># Table de prix</span><br/>fees: <span class=""string"">""{table {cart.weight} in 0.5:5.30, 1.0:6.50}""</span>,<br/>
<br/>
<span class=""comment""># Formule</span><br/>fees: <span class=""string"">""0.1 * {cart.price_excluding_tax} + 10.00""</span>,<br/>
<br/>
<span class=""comment""># Combinaison</span><br/>fees: <span class=""string"">""0.1 * {cart.price_excluding_tax} + {table {cart.weight} in 0.5:5.30, 1.0:6.50} + 10.00""</span>,
</div>

<div class=""help-footer"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>
"
			"{os2editor.help.more.formulas}","
<div class=""help-header"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>

<h4>Initiation aux formules</h4>
<p>
	Les propriétés `fees` et `conditions` sont spécifiées sous la forme de formules.
</p>
<p>
	Signes mathématiques disponibles :
</p>
<ul>
	<li>opérateurs : *, /, + et -</li>
	<li>modulo : %</li>
	<li>parenthèses : ( et )</li>
	<li>les opérateurs booléens &amp;&amp;, and, ||, or, ==, &lt;, &gt;, &lt;=, &gt;=</li>
	<li>les opérateurs binaires &amp; et |</li>
	<li>le groupe d'opérateur C ? X : Y (ex: ""{cart.price_exluding_tax}&gt;100 ? 15*{cart.weight} : 20*{cart.weight}"")</li>
</ul>
<p>
	Fonctions disponibles :
</p>
<ul>
	<li>arrondis : round(x), floor(x), ceil(x)</li>
	<li>valeur absolue : abs(x)</li>
	<li>maximum : max(x,y)</li>
	<li>minimum : min(x,y)</li>
	<li>entier aléatoire : rand(min,max)</li>
	<li>puissance : pow(x,puissance)</li>
	<li>nombre PI : pi()</li>
	<li>racine carrée : sqrt(x)</li>
	<li>logarithme : log(x) pour le logarithme népérien ou log(x,base)</li>
	<li>exponentiel : exp(x)</li>
</ul>
<p>
	Possibilité d'utiliser les fonctionnalités avancées suivantes : casting  en entier (int) ou en nombre flottant (float),
	comparaison avec la valeur null ou les valeurs booléennes true et false.
</p>
<p>
	Variables disponibles :
</p>
<ul>

	<li><b>{cart.weight}</b>: poids des marchandises</li>
	<li><b>{cart.weight.for-charge}</b>: poids des marchandises dont la livraison n'est pas offerte (par les règles de prix panier de Magento)</li>
	<li><b>{cart.quantity}</b>: nombre d'articles dans le panier</li>
	<li><b>{cart.coupon}</b>: coupon de réduction (chaîne de caractère)</li>
	<li>Prix :
		<ul>
			<li><b>{cart.price_excluding_tax}</b>: prix HT (équivaut à <b>{cart.price-tax+discount}</b>)</li>
			<li><b>{cart.price_including_tax}</b>: prix TTC (équivaut à <b>{cart.price+tax+discount}</b>)</li>
			<li><b>{cart.price-tax+discount}</b> : prix HT après remise</li>
			<li><b>{cart.price-tax-discount}</b> : prix HT avant remise</li>
			<li><b>{cart.price+tax+discount}</b> : prix TTC après remise</li>
			<li><b>{cart.price+tax-discount}</b>: prix TTC avant remise</li>
		</ul>
	</li>
	<li>Date courante :
		<ul>
			<li><b>{date.timestamp}</b>: timestamp UNIX de la date actuelle</li>
			<li><b>{date.year}</b>, <b>{date.month}</b>, <b>{date.day}</b>, <b>{date.hour}</b>, <b>{date.minute}</b>, <b>{date.second}</b>: année, mois, jour, heure, minute et seconde de la date actuelle</li>
		</ul>
	</li>
	<li>Destination :
		<ul>
			<li><b>{destination.country.code}</b>: code du pays de destination</li>
			<li><b>{destination.country.name}</b>: nom du pays de destination</li>
			<li><b>{destination.region.code}</b>: code de la région de destination</li>
			<li><b>{destination.postcode}</b>: code postal de destination</li>
		</ul>
	</li>
	<li>Origine (idem destination) : <b>{origin.country.code}</b>, <b>{origin.country.name}</b>, <b>{origin.region.code}</b>, <b>{origin.postcode}</b></li>
	</li>
	<li><b>{free_shipping}</b>: frais de port offert (par une règle dans Magento) [true/false]</li>
	<li>Autres variables en vrac : {cart.weight.unit}, {customer.group.id}, {customer.group.code}, {store.id}, {store.code}, {store.name}, {store.address}, {store.phone}</li>
</ul>
<p>
	Vous avez la possibilité de mettre des espaces et des retours à la ligne dans les formules (pour aérer).
</p>
<p class=""new"" style=""font-weight: bold;"">
	Vous pouvez également utiliser des fonctionnalités avancées telles que les tables de tarifs, la copie d'une propriété d'une autre méthode,
	les fonctions spéciales, l'utilisation des attributs et des options des produits ou encore l'utilisation des variables personnalisées.
</p>
<p class=""new"" style=""font-weight: bold;"">
	Lorsque vous utilisez des variables qui ne sont pas numériques ou booléennes, vous devez les échapper avec des guillemets simples ou utiliser la syntaxe d'auto-échappement <span class=""code"">{{ }}</span>.
</p>
<div class=""code""><span class=""comment""># Échappement avec des guillemets</span><br/>conditions: <span class=""string"">""'{cart.coupon}'=='test'""</span>,<br/>
<br/>
<span class=""comment""># Auto-échappement (depuis la version 2.4.5), {{cart.coupon}} sera remplacé par 'moncoupon' ou par null en fonction de sa valeur</span><br/>conditions: <span class=""string"">""{{cart.coupon}}=='test'""</span>,
</div>

<div class=""help-footer"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>
"
			"{os2editor.help.more.tables}","
<div class=""help-header"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>

<h4>Utilisation des tables de tarifs</h4>
<p>
	Dans une table, on peut inclure ou exclure une valeur limite avec les caractères '[' et ']' :
</p>
<div class=""code""><span class=""comment""># Limite supérieure 1.0 incluse</span><br/>
fees: <span class=""string"">""{table {cart.weight} in 1.0]:5.00}""</span>,<br/>

<br/>
<span class=""comment""># Limite supérieure 1.0 exclue</span><br/>
fees: <span class=""string"">""{table {cart.weight} in 1.0[:5.00}""</span>,</div>

<p>
	Dans une table, on doit spécifier la valeur de référence. Pour cela, on peut utiliser une des variables disponibles.<br/>
	Vous pouvez aussi utiliser une formule afin de définir une autre variable de référence.
</p>

<div class=""code""><span class=""comment""># Les valeurs limites sont comparées au poids du panier</span><br/>
fees: <span class=""string"">""{table {cart.weight} in 0.5:5.30, 1.0:6.50}""</span>,<br/>
<br/>
<span class=""comment""># Les valeurs limites sont comparées à la quantité d'articles</span><br/>
fees: <span class=""string"">""{table {cart.quantity} in 10:5.30, 20:6.50}""</span>,<br/>
<br/>
<span class=""comment""># Les valeurs limites sont comparées au prix TTC</span><br/>
fees: <span class=""string"">""{table {cart.price_including_tax} in 15.00:5.30, 30.00:6.50}""</span>,<br/>
<br/>
<span class=""comment""># Les valeurs limites sont comparées au prix HT</span><br/>
fees: <span class=""string"">""{table {cart.price_excluding_tax} in 15.00:5.30, 30.00:6.50}""</span>,<br/>
<br/>
<span class=""comment""># Les valeurs limites sont comparées à une valeur de référence définie par l'utilisateur</span><br/>
fees: <span class=""string"">""{table ceil({cart.weight}/10) in 1:5.30, 2:6.50}""</span>,
</div>

<div class=""help-footer"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>
"
			"{os2editor.help.more.switch}","
<div class=""help-header"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>

<h4>Utilisation des ""switch"" (tables de correspondances)</h4>

<p>
	Dans un switch, on doit spécifier la valeur de référence. Pour cela, on peut utiliser une des variables disponibles.<br/>
	Vous pouvez aussi utiliser une formule afin de définir une autre variable de référence.
</p>

<div class=""code""><span class=""comment""># Table de correpondance avec le coupon</span><br/>
fees: <span class=""string"">""{switch {{cart.coupon}} in 'coupon1':5.30, 'coupon2':6.50, null:10.00, *:7.50}""</span>,<br/>
<br/>
<span class=""comment""># Table de correpondance avec le pays de destination</span><br/>
fees: <span class=""string"">""{switch {{destination.country.code}} in 'FR':5.30, 'BE':6.50, 'DE':10.00, *:7.50}""</span>,
</div>

<div class=""help-footer"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>
"
			"{os2editor.help.more.copy}","
<div class=""help-header"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>

<h4>Faire une copie d'une propriété d'une autre méthode</h4>
<p>
Il est possible de faire une copie d'une propriété dans une autre à l'aide de la syntaxe ci-dessous.
</p>
<p>
Vous pouvez utiliser cette technique dans les propriétés 'conditions', 'fees',
'enabled', 'label', 'description', 'destination', 'origin', 'customer_groups' et 'tracking_url'
<strong>mais pas dans la propriété 'code'</strong>.
</p>

<div class=""code""><span class=""comment""># Colissimo</span><br/>
{<br/>
&nbsp;&nbsp;&nbsp;code: <span class=""string"">""colissimo""</span>,<br/>
&nbsp;&nbsp;&nbsp;label: <span class=""string"">""Colissimo""</span>,<br/>
&nbsp;&nbsp;&nbsp;destination: <span class=""string"">""AD,FR,MC""</span>,<br/>
&nbsp;&nbsp;&nbsp;conditions: <span class=""string"">""{cart.price_excluding_tax}&lt;1000.00""</span>,<br/>
&nbsp;&nbsp;&nbsp;fees: <span class=""string"">""1.30 + {table {cart.weight} in 0.5:5.30, 1.0:6.50, 2.0:7.40, 3.0:8.30, 5.0:10.10}""</span>,<br/>
}<br/>
...<br/>
&nbsp;&nbsp;&nbsp;<span class=""comment""># Copie des conditions d'une autre méthode</span><br/>
&nbsp;&nbsp;&nbsp;conditions: <span class=""string"">""({colissimo.conditions}) and ({cart.weight}&gt;10.0)""</span>,<br/>
...<br/>
&nbsp;&nbsp;&nbsp;<span class=""comment""># Copie des frais de port d'une autre méthode</span><br/>
&nbsp;&nbsp;&nbsp;fees: <span class=""string"">""({colissimo.fees}) + 15.00""</span>,<br/>
...
</div>

<div class=""help-footer"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>
"
			"{os2editor.help.more.special-functions}","
<div class=""help-header"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>

<h4>Fonctions spéciales dans les formules</h4>

<p>
Vous pouvez utiliser dans les formules des fonctions spéciales.
</p>
<p>
Liste des fonctions spéciales :
</p>
<ul>
	<li><b>min(x,y) :</b> calcule le minimum entre plusieurs valeurs (éventuellement plus de deux valeurs). Si l'une des valeurs est nulle, elle est ignorée.</li>
	<li><b>max(x,y) :</b> calcule le maximum entre plusieurs valeurs (éventuellement plus de deux valeurs). Si l'une des valeurs est nulle, elle est ignorée.</li>
	<li class=""new""><b>substr(string, start, length) :</b> retourne un segment de chaîne de caractères.</li>
	<li class=""new""><b>in_array(value, array(value1, value2)) :</b> indique si une valeur appartient à un tableau.</li>
</ul>

<div class=""code""><span class=""comment""># Exemple d'utilisation de la fonction min<br/>
[...]<br/>
{<br/>
&nbsp;&nbsp;&nbsp;code: <span class=""string"">""exemple""</span>,<br/>
&nbsp;&nbsp;&nbsp;label: <span class=""string"">""Exemple""</span>,<br/>
&nbsp;&nbsp;&nbsp;destination: <span class=""string"">""{chronopost.destination}""</span>,<br/>
&nbsp;&nbsp;&nbsp;fees: <span class=""string"">""min({cart.weight},{cart.price},{cart.quantity})""</span>,<br/>
}<br/>
<br/>
<span class=""comment""># Exemple d'utilisation de la fonction substr *<br/>
{<br/>
&nbsp;&nbsp;&nbsp;code: <span class=""string"">""free_shipping""</span>,<br/>
&nbsp;&nbsp;&nbsp;label: <span class=""string"">""Port offert""</span>,<br/>
&nbsp;&nbsp;&nbsp;destination: <span class=""string"">""FR""</span>,<br/>
&nbsp;&nbsp;&nbsp;conditions: <span class=""string"">""substr('{cart.coupon}', 0, 5)=='free_'""</span>,<br/>
&nbsp;&nbsp;&nbsp;fees: <span class=""string"">""0""</span>,<br/>
}<br/>
<br/>
<span class=""comment""># Exemple d'utilisation de la fonction in_array avec des chaînes de caractères *<br/>
{<br/>
&nbsp;&nbsp;&nbsp;code: <span class=""string"">""free_shipping""</span>,<br/>
&nbsp;&nbsp;&nbsp;label: <span class=""string"">""Port offert""</span>,<br/>
&nbsp;&nbsp;&nbsp;destination: <span class=""string"">""FR""</span>,<br/>
&nbsp;&nbsp;&nbsp;conditions: <span class=""string"">""in_array({{cart.coupon}}, array('free1', 'free2'))""</span>,<br/>
&nbsp;&nbsp;&nbsp;fees: <span class=""string"">""0""</span>,<br/>
}<br/>
<br/>
<span class=""comment""># Exemple d'utilisation de la fonction in_array avec des nombres<br/>
{<br/>
&nbsp;&nbsp;&nbsp;code: <span class=""string"">""free_shipping""</span>,<br/>
&nbsp;&nbsp;&nbsp;label: <span class=""string"">""Port offert""</span>,<br/>
&nbsp;&nbsp;&nbsp;destination: <span class=""string"">""FR""</span>,<br/>
&nbsp;&nbsp;&nbsp;conditions: <span class=""string"">""in_array({cart.quantity}, array(10,20,30))""</span>,<br/>
&nbsp;&nbsp;&nbsp;fees: <span class=""string"">""0""</span>,<br/>
}<br/>
</div>

<p class=""new"">
	* Concernant l'échappement des chaînes de caractères, se référer à l'<a href=""#"" onclick=""os2editor.help('more.formulas');"">inititation aux formules</a>. 
</p>

<div class=""help-footer"">
	<p><a href=""#"" onclick=""os2editor.help('summary');"">Sommaire</a></p>
</div>
"
